1,Galaxy S20 5G,12MP Ultra Wide Camera
1,Galaxy S20 5G,Pixel size: 1.4μm
1,Galaxy S20 5G,FOV: 120˚
1,Galaxy S20 5G,F.No (aperture): F2.2
1,Galaxy S20 5G,12MP Wide-angle Camera
1,Galaxy S20 5G,Super Speed Dual Pixel AF OIS
1,Galaxy S20 5G,Pixel size: 1.8μm
1,Galaxy S20 5G,FOV: 79˚
1,Galaxy S20 5G,F.No (aperture): F1.8
1,Galaxy S20 5G,1/1.76 image sensor size
1,Galaxy S20 5G,64MP Telephoto Camera
1,Galaxy S20 5G,Pixel size: 0.8μm
1,Galaxy S20 5G,FOV: 76˚
1,Galaxy S20 5G,F.No (aperture): F2.0
1341,iPhone 11 Pro,Triple 12MP Ultra Wide and Telephoto cameras
1341,iPhone 11 Pro,Ultra Wide: ƒ/2.4 aperture and 120° field of view Wide: ƒ/1.8 aperture
1341,iPhone 11 Pro,Telephoto: ƒ/2.0 aperture
1341,iPhone 11 Pro,2x optical zoom in and 2x optical zoom out; digital zoom up to 10x
1341,iPhone 11 Pro,Portrait mode with advanced bokeh and Depth Control
1341,iPhone 11 Pro,Dual optical image stabilization (Wide and Telephoto)
1341,iPhone 11 Pro,Five-element lens (Ultra Wide); six-element lens (Wide and Telephoto)
1341,iPhone 11 Pro,Brighter True Tone flash with Slow SyncPanorama (up to 63MP)
1341,iPhone 11 Pro,Sapphire crystal lens cover
1341,iPhone 11 Pro,100% Focus Pixels (Wide)
1341,iPhone 11 Pro,Night mode
1341,iPhone 11 Pro,Auto Adjustments
1341,iPhone 11 Pro,Next-generation Smart HDR for photos
1341,iPhone 11 Pro,Wide color capture for photos and Live Photos
1341,iPhone 11 Pro,Advanced red-eye correction
1341,iPhone 11 Pro,Photo geotagging
1341,iPhone 11 Pro,Auto image stabilization
1341,iPhone 11 Pro,Burst mode
1341,iPhone 11 Pro,Image formats captured: HEIF and JPEG
4228,Google Pixel 4a,12.2 MP dual-pixel
4228,Google Pixel 4a,1.4 μm pixel width
4228,Google Pixel 4a,Autofocus with dual pixel phase detection
